start_time,end_time,start_x,start_y,end_x,end_y,money
338,1886,92,1,92,1,13.0
338,615,78,62,77,66,13.0
338,904,40,63,45,67,13.0
338,1059,56,65,78,61,18.52
341,890,82,71,73,63,13.0
341,1460,83,27,71,76,35.08
342,954,56,40,44,21,18.52
342,912,61,70,61,70,13.0
346,1120,65,49,86,53,18.52
349,966,57,71,83,41,32.32
350,842,7,77,21,59,21.28
351,1706,48,32,86,34,43.36
354,535,44,97,45,94,13.0
354,1138,67,23,23,7,37.84
354,663,45,60,46,54,13.0
356,1022,65,90,42,80,24.04
356,1354,87,71,48,76,29.56
358,932,92,56,86,43,13.0
364,775,17,55,17,80,15.76
366,479,88,99,88,98,13.0
367,835,76,80,83,61,15.76
367,466,31,63,29,63,13.0
367,1319,15,57,73,66,46.12
368,458,64,99,63,99,13.0
370,996,39,40,56,39,15.76
370,1430,81,23,57,35,24.04
371,779,83,35,83,60,15.76
371,3492,72,19,68,16,128.92
372,2345,50,68,34,96,37.84
372,729,65,62,58,66,13.0
373,986,50,62,33,57,15.76
373,1256,85,77,62,53,26.8
373,1245,95,42,73,5,32.32
375,1018,81,75,70,64,13.0
378,671,50,78,58,93,15.76
379,1278,25,41,63,42,29.56
380,2655,28,32,83,34,89.13
383,1166,33,83,68,69,29.56
387,977,9,27,1,17,13.0
388,1048,83,31,69,57,26.8
389,1010,95,33,70,51,29.56
391,1144,75,53,69,50,15.3
392,1159,26,41,65,43,26.8
392,1679,28,61,48,9,50.03
392,1015,31,89,20,57,26.8
393,1792,67,52,51,86,43.36
398,1483,56,47,90,40,29.56
399,885,65,95,61,77,15.76
400,400,8,51,8,51,13.0
400,1070,37,82,28,56,26.8
400,1322,78,53,59,66,21.28
401,809,84,34,87,11,18.52
402,634,35,87,31,92,13.0
403,817,46,94,70,94,18.52
403,1003,37,71,47,72,13.0
403,539,65,67,63,62,13.0
404,1764,11,77,50,73,29.56
405,693,88,62,86,70,13.0
407,829,81,33,70,23,13.0
407,792,36,51,15,57,18.52
408,938,48,37,73,39,18.52
410,1313,24,90,36,54,26.8
411,1317,36,50,25,13,35.08
411,1815,48,35,70,66,32.32
411,754,45,95,26,93,15.76
413,964,92,58,93,19,24.04
414,1177,53,16,45,39,18.52
414,499,74,47,74,47,13.0
414,1076,34,96,73,93,29.56
414,567,83,74,86,72,13.0
416,520,15,37,17,34,13.0
416,1041,53,10,72,15,15.76
416,417,66,47,66,48,13.0
417,685,88,62,86,70,13.0
417,2047,56,74,82,6,69.58
417,480,79,27,77,27,13.0
419,839,83,59,78,38,18.52
424,724,32,81,24,75,13.0
424,546,34,96,34,99,13.0
425,942,61,38,60,27,15.76
425,425,87,48,87,48,13.0
427,491,95,93,97,93,13.0
428,1147,28,63,46,87,24.04
430,1060,20,78,29,55,21.28
430,2096,68,93,48,5,100.86
431,626,7,62,9,66,13.0
432,1616,74,19,97,67,37.84
432,1835,8,76,11,76,31.4
433,1141,72,66,83,28,29.56
433,1093,58,66,74,56,15.76
434,1867,76,63,67,7,43.36
434,1324,91,91,74,46,37.84
435,1350,50,49,76,23,29.56
435,878,62,82,61,76,13.0
438,1002,60,93,54,85,15.76
439,1520,66,52,89,33,29.1
439,706,80,76,86,70,13.0
439,753,41,12,38,21,13.0
440,793,82,37,78,43,13.0
445,1005,47,63,55,75,13.0
447,747,40,75,37,87,13.0
448,448,83,53,83,53,13.0
449,1790,82,51,36,38,35.08
449,854,48,40,36,33,13.0
449,1400,75,52,67,18,29.56
450,1622,78,64,57,22,37.84
451,592,23,88,26,89,13.0
452,872,22,37,24,12,18.52
453,2019,65,62,69,15,40.6
454,1834,10,72,83,47,65.67
455,817,72,21,58,19,13.0
